Years,Pukwh,Populations,PowerConsume,PowerProduce
2018,915,38723248,525909666,44088303
2017,963,39326352,506890700,47164003
2016,1068,39910403,496761471,53036815
2015,1164,40405956,487447819,58351643
2014,1243,40805744,472197662,62667201
2013,1367,41213674,468232272,69680596
2012,1543,41621690,468414828,80251347
2011,1771,42031247,456520745,93108847
2010,1939,42449038,440189177,103623615
2009,2202,42869283,398999001,118460795
2008,2412,43295704,388611397,131616144
2007,2639,43747962,370336434,146439284
2006,2899,44194628,348319758,161900951
2005,3297,44641540,331654333,183365532
2004,3640,45092991,312103631,203546465
2003,4006,45524681,293388414,225845719
2002,4167,46286503,278483482,237197406
2001,4366,45953580,257883173,246587471
2000,4572,46616677,238190098,262152146
1999,5067,47008111,213131447,290442948
1998,5444,47370164,192875858,309885952
1997,5845,47644736,200633330,332020947
1996,6126,47892330,182371872,347756209
1995,6491,48082519,164138487,368033552
1994,6883,48184561,147183157,389479512
1993,7191,48438292,128120227,402988943
1992,7607,48683638,115450872,425407289
1991,7922,49054708,104429238,442610958
1990,8092,49307835,94398161,452447461
1989,8883,49554112,82308685,495028363
1988,9142,49936638,74437338,518167816
1987,9285,50428893,64222268,531201866
1986,9305,50746659,56339092,537169276
1985,9331,50199853,50721540,540378799
1984,9555,51014947,47032533,547801803
1983,9699,51217803,42624310,560984590
1982,9869,51361911,37871277,576412127
1981,10195,51585058,35431772,592904629
